train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
1.1237752,0.6266112,0.2251164,0.25170702,1.1237752,0.41479176,1.1127676,0.6651273,0.25066516,0.28133819,1.1127676,0.40461537
1.0526671,0.66376823,0.2814988,0.3100912,1.0526671,0.42770654,1.1167783,0.68156505,0.27139038,0.29868916,1.1167783,0.40306845
1.0297452,0.6794075,0.30138895,0.32996282,1.0297452,0.4338395,1.0893465,0.68999946,0.28693876,0.3317102,1.0893465,0.41151553
1.0091643,0.6927613,0.31849566,0.3425766,1.0091643,0.43945643,1.0754448,0.6995692,0.31431356,0.3257822,1.0754448,0.4133875
0.98514366,0.7050143,0.33528712,0.36177146,0.98514366,0.4453731,1.0385014,0.7105567,0.3257219,0.3561576,1.0385014,0.4241104
0.96369207,0.7145955,0.35150355,0.38267466,0.96369207,0.4524132,0.9959987,0.72439265,0.35799664,0.3902885,0.9959987,0.43694404
0.9490375,0.7232311,0.36276275,0.3889961,0.9490375,0.45665696,0.96320647,0.7291687,0.3664212,0.397825,0.96320647,0.44909075
0.9305382,0.7339239,0.37454742,0.40399092,0.9305382,0.46205726,0.9247518,0.7405058,0.38388517,0.3816328,0.9247518,0.4617373
0.9126845,0.7412251,0.3865159,0.4150829,0.9126845,0.4667375,0.91050893,0.74809873,0.4116382,0.4091628,0.91050893,0.4673131
0.8968058,0.7474672,0.39670762,0.42603463,0.8968058,0.47184226,0.8936154,0.75355434,0.41277155,0.408417,0.8936154,0.4774185
0.878381,0.7552149,0.4087338,0.43861675,0.878381,0.47705442,0.8681224,0.75792056,0.4442772,0.42128712,0.8681224,0.49308863
0.85764945,0.7632473,0.4220607,0.4514163,0.85764945,0.48339677,0.9287268,0.7586551,0.41821483,0.4031127,0.9287268,0.48279494
0.83883786,0.7692965,0.4345917,0.46320784,0.83883786,0.48919687,0.90127474,0.7658914,0.42425942,0.37839392,0.90127474,0.49110866
